account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,current_mrr,current_arr,is_trial,total_usage_count,ticket_count,avg_satisfaction,escalation_rate,has_upgraded,has_downgraded,tenure_days,churn_target
A-c42f1f,Company_21,HealthTech,US,2024-07-28,other,Pro,11.0,539.0,6468.0,False,321,9.0,4.0,0.1111111111111111,False,False,64,0
A-4e44e8,Company_22,DevTools,US,2024-08-20,ads,Basic,10.0,0.0,0.0,True,637,3.0,3.3333333333333335,0.0,True,False,41,1
A-30b4ca,Company_23,EdTech,IN,2024-05-20,organic,Basic,86.0,1634.0,19608.0,False,370,3.0,4.0,0.0,False,False,133,0
A-32fb14,Company_25,DevTools,US,2023-03-07,event,Basic,26.0,494.0,5928.0,False,460,5.0,4.5,0.0,True,False,573,0
A-00cac8,Company_26,HealthTech,AU,2023-09-15,organic,Pro,8.0,392.0,4704.0,False,555,2.0,,0.0,False,False,381,0
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Pro,25.0,1225.0,14700.0,False,674,4.0,5.0,0.0,True,False,521,0
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7.0,1393.0,16716.0,False,484,4.0,4.0,0.0,False,False,338,0
A-b20d99,Company_29,HealthTech,IN,2023-09-27,other,Pro,27.0,1323.0,15876.0,False,329,2.0,3.5,0.0,False,False,369,0
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Basic,16.0,304.0,3648.0,False,392,4.0,3.6666666666666665,0.0,True,True,435,0
A-08e34e,Company_32,EdTech,US,2024-06-27,event,Pro,14.0,686.0,8232.0,False,556,3.0,3.0,0.0,False,False,95,0
A-8145a0,Company_33,Cybersecurity,AU,2023-04-25,partner,Basic,12.0,228.0,2736.0,False,614,5.0,4.0,0.0,True,False,524,0
A-bad8c1,Company_34,FinTech,AU,2023-03-01,organic,Pro,37.0,1813.0,21756.0,False,332,1.0,4.0,0.0,True,False,579,0
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,17.0,0.0,0.0,True,236,7.0,4.6,0.0,False,False,141,1
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Basic,5.0,95.0,1140.0,False,322,7.0,4.25,0.0,False,False,507,0
A-a45270,Company_37,HealthTech,US,2024-06-24,ads,Basic,29.0,551.0,6612.0,False,687,2.0,,0.0,True,False,98,1
A-05f0e5,Company_40,FinTech,US,2023-05-04,partner,Pro,32.0,1568.0,18816.0,False,557,3.0,4.0,0.0,True,False,515,1
A-9077b0,Company_41,HealthTech,US,2024-08-25,ads,Basic,2.0,38.0,456.0,False,460,3.0,4.333333333333333,0.0,False,False,36,0
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34.0,1666.0,19992.0,False,616,1.0,3.0,0.0,True,False,566,0
A-2bc93d,Company_43,HealthTech,US,2023-03-14,event,Basic,29.0,551.0,6612.0,False,577,1.0,4.0,0.0,True,False,566,0
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Pro,35.0,1715.0,20580.0,False,616,3.0,3.5,0.0,True,False,86,1
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,67.0,0.0,0.0,True,446,3.0,5.0,0.0,True,False,154,0
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Basic,26.0,494.0,5928.0,False,517,2.0,4.5,0.5,True,True,542,0
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Basic,23.0,0.0,0.0,True,608,5.0,4.333333333333333,0.0,True,True,218,0
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Enterprise,55.0,0.0,0.0,True,425,4.0,4.0,0.0,True,True,384,0
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47.0,0.0,0.0,True,615,2.0,3.0,0.0,True,True,206,0
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Enterprise,13.0,2587.0,31044.0,False,655,3.0,5.0,0.0,True,False,185,0
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Basic,22.0,418.0,5016.0,False,401,6.0,4.0,0.0,False,False,543,0
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Basic,26.0,494.0,5928.0,False,343,3.0,4.0,0.0,True,True,420,0
A-32728c,Company_54,DevTools,US,2023-01-03,event,Basic,42.0,798.0,9576.0,False,390,2.0,3.5,0.0,True,False,636,0
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Enterprise,36.0,7164.0,85968.0,False,712,3.0,3.5,0.0,True,False,205,0
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,19.0,3781.0,45372.0,False,320,2.0,,0.0,False,False,444,0
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,29.0,551.0,6612.0,False,819,2.0,4.0,0.0,True,False,83,0
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Pro,20.0,980.0,11760.0,False,430,2.0,4.0,0.0,True,False,40,0
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9.0,171.0,2052.0,False,416,3.0,4.0,0.0,True,True,580,1
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Basic,68.0,1292.0,15504.0,False,480,6.0,4.5,0.0,False,False,29,1
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Enterprise,41.0,8159.0,97908.0,False,413,4.0,3.6666666666666665,0.0,True,False,516,0
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Basic,33.0,627.0,7524.0,False,226,2.0,4.0,0.0,False,False,4,1
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,20.0,0.0,0.0,True,647,4.0,5.0,0.0,False,False,103,0
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Basic,46.0,874.0,10488.0,False,431,4.0,4.0,0.0,True,False,317,0
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Enterprise,43.0,8557.0,102684.0,False,460,4.0,3.5,0.25,True,False,169,0
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Enterprise,24.0,4776.0,57312.0,False,467,1.0,4.0,0.0,False,True,88,1
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Enterprise,45.0,8955.0,107460.0,False,317,2.0,4.0,0.0,False,False,568,0
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21.0,399.0,4788.0,False,639,4.0,4.666666666666667,0.0,False,False,82,0
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Pro,5.0,245.0,2940.0,False,493,3.0,4.0,0.0,False,True,368,0
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Enterprise,12.0,2388.0,28656.0,False,496,1.0,4.0,0.0,False,False,360,0
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Pro,8.0,392.0,4704.0,False,308,3.0,4.0,0.0,False,False,544,0
A-c45b23,Company_75,FinTech,UK,2023-12-08,partner,Pro,25.0,0.0,0.0,True,537,2.0,3.0,0.0,False,False,297,0
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,Basic,44.0,0.0,0.0,True,624,3.0,4.5,0.3333333333333333,False,False,186,0
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13.0,2587.0,31044.0,False,391,4.0,3.0,0.0,True,True,524,1
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,8.0,392.0,4704.0,False,368,1.0,,0.0,True,False,602,0
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Basic,17.0,0.0,0.0,True,488,7.0,3.5,0.14285714285714285,True,False,508,1
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56.0,11144.0,133728.0,False,405,2.0,5.0,0.0,True,True,423,0
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Enterprise,23.0,4577.0,54924.0,False,299,3.0,5.0,0.0,True,False,222,0
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Enterprise,11.0,0.0,0.0,True,880,3.0,4.0,0.0,True,False,457,0
A-271f46,Company_84,DevTools,US,2023-02-09,event,Basic,38.0,722.0,8664.0,False,308,1.0,,0.0,False,False,599,0
A-157070,Company_85,FinTech,US,2023-11-09,ads,Basic,27.0,513.0,6156.0,False,623,2.0,,0.5,True,False,326,1
A-40a557,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,18.0,0.0,0.0,True,376,5.0,3.0,0.0,False,False,302,0
A-91e948,Company_88,EdTech,AU,2023-01-29,partner,Enterprise,41.0,8159.0,97908.0,False,364,0.0,,0.0,True,False,610,0
A-104f1a,Company_89,Cybersecurity,US,2024-08-17,other,Pro,45.0,0.0,0.0,True,373,4.0,3.75,0.25,False,False,44,1
A-7988d1,Company_90,Cybersecurity,US,2023-12-20,other,Basic,33.0,627.0,7524.0,False,359,2.0,5.0,0.0,False,False,285,1
A-faa28c,Company_91,HealthTech,US,2024-01-30,organic,Enterprise,48.0,9552.0,114624.0,False,495,3.0,4.666666666666667,0.3333333333333333,True,False,244,0
A-f25509,Company_92,EdTech,US,2024-03-22,other,Enterprise,32.0,6368.0,76416.0,False,202,6.0,4.666666666666667,0.0,False,False,192,1
A-3a5ad8,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9.0,0.0,0.0,True,458,3.0,4.0,0.0,True,True,300,0
A-65a46c,Company_95,HealthTech,US,2023-11-04,event,Pro,13.0,637.0,7644.0,False,286,6.0,3.6666666666666665,0.0,True,False,331,0
A-8b25f2,Company_96,Cybersecurity,US,2024-02-17,ads,Basic,10.0,190.0,2280.0,False,489,2.0,4.0,0.0,True,False,226,0
A-adc1f3,Company_98,Cybersecurity,US,2024-08-05,organic,Basic,16.0,0.0,0.0,True,280,3.0,3.5,0.0,False,False,56,0
A-503d5a,Company_99,FinTech,US,2023-10-21,other,Pro,6.0,294.0,3528.0,False,455,7.0,4.0,0.0,False,True,345,0
A-186a44,Company_101,HealthTech,US,2023-08-07,ads,Basic,20.0,380.0,4560.0,False,522,6.0,3.3333333333333335,0.0,False,True,420,0
A-e888d1,Company_102,Cybersecurity,US,2023-03-28,other,Basic,14.0,266.0,3192.0,False,488,5.0,4.0,0.2,True,False,552,1
A-69fad4,Company_103,FinTech,UK,2023-04-06,ads,Pro,13.0,0.0,0.0,True,334,4.0,3.6666666666666665,0.0,False,False,543,0
A-9289f6,Company_104,EdTech,US,2023-05-31,event,Enterprise,17.0,3383.0,40596.0,False,555,4.0,4.0,0.0,True,False,488,0
A-f19409,Company_105,DevTools,US,2023-03-16,other,Pro,23.0,1127.0,13524.0,False,556,2.0,,0.0,True,False,564,0
A-2e3bad,Company_108,FinTech,CA,2023-08-13,other,Enterprise,61.0,12139.0,145668.0,False,403,5.0,3.5,0.0,False,False,414,0
A-484819,Company_109,HealthTech,US,2023-02-21,organic,Basic,22.0,418.0,5016.0,False,319,5.0,4.5,0.0,True,False,587,0
A-425e76,Company_110,DevTools,UK,2023-05-17,other,Enterprise,9.0,1791.0,21492.0,False,393,5.0,3.3333333333333335,0.2,True,False,502,1
A-e83938,Company_111,DevTools,UK,2023-11-21,other,Pro,31.0,1519.0,18228.0,False,242,3.0,,0.0,True,False,314,1
A-ad296b,Company_112,DevTools,AU,2024-07-15,event,Enterprise,38.0,7562.0,90744.0,False,258,3.0,3.6666666666666665,0.3333333333333333,False,False,77,0
A-e51ec7,Company_113,FinTech,CA,2023-09-23,partner,Enterprise,2.0,0.0,0.0,True,384,2.0,,0.0,True,True,373,0
A-0aaf6e,Company_114,FinTech,US,2024-05-11,organic,Pro,11.0,0.0,0.0,True,502,4.0,3.0,0.0,False,False,142,0
A-e61e98,Company_115,FinTech,US,2023-10-20,partner,Enterprise,34.0,6766.0,81192.0,False,509,5.0,4.6,0.2,True,False,346,1
A-92a333,Company_116,FinTech,US,2023-03-24,event,Basic,9.0,171.0,2052.0,False,285,4.0,,0.25,False,True,556,0
A-95b24a,Company_117,FinTech,US,2023-06-06,event,Basic,38.0,722.0,8664.0,False,513,5.0,4.25,0.0,True,True,482,0
A-42e5e1,Company_118,DevTools,US,2024-07-09,ads,Basic,1.0,19.0,228.0,False,345,3.0,4.0,0.0,True,True,83,1
A-7d514c,Company_119,HealthTech,DE,2024-02-03,organic,Basic,17.0,0.0,0.0,True,451,2.0,5.0,0.0,True,False,240,0
A-65aeb5,Company_120,DevTools,US,2024-01-25,partner,Pro,9.0,441.0,5292.0,False,468,2.0,5.0,0.0,False,True,249,1
A-e2cd1b,Company_121,DevTools,US,2024-02-04,other,Pro,45.0,2205.0,26460.0,False,405,5.0,4.0,0.0,False,False,239,0
A-180abf,Company_122,DevTools,US,2023-08-14,event,Basic,64.0,1216.0,14592.0,False,453,3.0,3.0,0.0,True,False,413,0
A-f17767,Company_123,DevTools,US,2023-01-30,event,Pro,12.0,588.0,7056.0,False,662,3.0,4.0,0.3333333333333333,True,True,609,0
A-5a184f,Company_124,DevTools,DE,2023-06-19,other,Enterprise,14.0,2786.0,33432.0,False,471,3.0,4.333333333333333,0.0,False,True,469,0
A-7df7a7,Company_125,DevTools,US,2023-01-28,organic,Enterprise,7.0,1393.0,16716.0,False,775,3.0,4.0,0.3333333333333333,False,True,611,0
A-52dd88,Company_127,Cybersecurity,US,2023-02-21,ads,Enterprise,23.0,4577.0,54924.0,False,455,1.0,,0.0,False,False,587,0
A-bece89,Company_128,Cybersecurity,IN,2023-12-01,event,Enterprise,26.0,5174.0,62088.0,False,132,4.0,4.0,0.25,True,False,304,0
A-029f69,Company_129,Cybersecurity,CA,2024-03-07,event,Enterprise,15.0,2985.0,35820.0,False,751,2.0,3.0,0.0,False,False,207,1
A-5c046d,Company_130,EdTech,FR,2024-07-06,partner,Enterprise,93.0,18507.0,222084.0,False,433,1.0,3.0,0.0,False,False,86,0
A-ae052e,Company_132,FinTech,CA,2023-09-11,other,Pro,39.0,1911.0,22932.0,False,273,4.0,4.0,0.0,True,True,385,1
A-9f9299,Company_133,FinTech,US,2023-09-02,organic,Enterprise,28.0,5572.0,66864.0,False,676,3.0,,0.0,False,False,394,1
A-96e141,Company_134,DevTools,UK,2023-08-12,partner,Enterprise,25.0,4975.0,59700.0,False,301,5.0,4.333333333333333,0.0,False,False,415,0
A-117171,Company_135,HealthTech,FR,2024-09-12,organic,,,,,,193,5.0,3.5,0.2,0,0,18,1
A-313be3,Company_136,EdTech,US,2023-11-15,partner,Basic,47.0,0.0,0.0,True,478,3.0,,0.0,True,False,320,0
A-bbc346,Company_138,FinTech,US,2024-08-29,partner,Enterprise,19.0,0.0,0.0,True,583,3.0,4.5,0.0,True,True,32,1
A-c16101,Company_139,EdTech,IN,2024-09-06,other,Basic,16.0,304.0,3648.0,False,456,3.0,5.0,0.0,True,True,24,1
A-50f3f7,Company_140,HealthTech,US,2023-12-22,partner,Basic,31.0,589.0,7068.0,False,556,6.0,5.0,0.16666666666666666,False,True,283,0
A-7da956,Company_141,Cybersecurity,US,2024-06-02,event,Enterprise,14.0,2786.0,33432.0,False,459,3.0,5.0,0.0,True,True,120,0
A-019782,Company_142,DevTools,FR,2023-04-19,event,Basic,14.0,266.0,3192.0,False,498,1.0,,0.0,True,False,530,0
A-df10db,Company_143,DevTools,US,2023-06-06,other,Basic,14.0,266.0,3192.0,False,612,2.0,3.0,0.5,True,False,482,0
A-3932db,Company_144,HealthTech,CA,2023-10-04,other,Enterprise,19.0,3781.0,45372.0,False,335,6.0,4.333333333333333,0.0,True,True,362,0
A-4f18f0,Company_145,DevTools,CA,2024-04-21,other,Pro,24.0,0.0,0.0,True,503,5.0,4.0,0.0,False,True,162,1
A-4c6f11,Company_146,FinTech,CA,2023-11-27,organic,Basic,24.0,456.0,5472.0,False,220,3.0,4.333333333333333,0.0,False,True,308,1
A-8ae05d,Company_147,FinTech,IN,2024-04-06,other,Basic,86.0,1634.0,19608.0,False,156,1.0,4.0,0.0,False,False,177,0
A-eafc6e,Company_149,DevTools,US,2023-07-06,partner,Pro,31.0,0.0,0.0,True,279,1.0,,0.0,False,False,452,1
A-37f969,Company_150,HealthTech,IN,2023-10-14,partner,Enterprise,30.0,5970.0,71640.0,False,280,5.0,3.6666666666666665,0.2,True,False,352,1
A-10b8f2,Company_151,HealthTech,DE,2023-01-11,organic,Basic,47.0,0.0,0.0,True,485,3.0,4.333333333333333,0.0,True,False,628,0
A-439b2f,Company_152,DevTools,US,2024-02-21,ads,Basic,4.0,76.0,912.0,False,153,2.0,,0.0,False,False,222,1
A-544d0a,Company_153,DevTools,US,2024-05-02,organic,Enterprise,64.0,12736.0,152832.0,False,416,2.0,4.0,0.5,False,True,151,0
A-ba6516,Company_154,FinTech,US,2023-10-29,ads,Pro,35.0,0.0,0.0,True,585,5.0,4.0,0.0,True,True,337,0
A-038089,Company_156,DevTools,FR,2023-12-19,other,Pro,36.0,1764.0,21168.0,False,201,6.0,3.6666666666666665,0.0,False,False,286,1
A-afa505,Company_157,DevTools,US,2023-12-27,partner,Pro,70.0,0.0,0.0,True,414,4.0,3.0,0.25,True,True,278,0
A-d5a319,Company_158,FinTech,US,2023-05-04,other,Enterprise,31.0,6169.0,74028.0,False,477,1.0,4.0,1.0,True,True,515,0
A-f97b9a,Company_159,FinTech,US,2023-07-09,event,Basic,65.0,0.0,0.0,True,473,6.0,3.6666666666666665,0.0,False,False,449,0
A-2f6a32,Company_160,HealthTech,US,2024-08-26,organic,Basic,19.0,361.0,4332.0,False,589,2.0,3.5,0.0,False,False,35,0
A-856b1e,Company_161,FinTech,US,2023-10-31,partner,Pro,36.0,1764.0,21168.0,False,180,5.0,,0.2,True,False,335,0
A-d27f50,Company_163,Cybersecurity,UK,2024-07-20,ads,Pro,44.0,2156.0,25872.0,False,424,4.0,3.75,0.0,False,False,72,0
A-e36807,Company_164,EdTech,AU,2024-05-17,other,Basic,26.0,494.0,5928.0,False,357,2.0,4.5,0.0,False,False,136,0
A-ff79f2,Company_165,DevTools,US,2024-04-25,ads,Enterprise,23.0,4577.0,54924.0,False,344,2.0,,0.0,False,False,158,0
A-5b1bcd,Company_166,DevTools,US,2023-09-16,organic,Enterprise,73.0,14527.0,174324.0,False,754,3.0,4.0,0.0,True,False,380,0
A-71615e,Company_167,EdTech,US,2024-05-18,organic,Enterprise,32.0,6368.0,76416.0,False,524,1.0,,0.0,True,False,135,0
A-794a0b,Company_168,HealthTech,DE,2023-06-02,organic,Enterprise,31.0,6169.0,74028.0,False,255,0.0,,0.0,False,False,486,0
A-86902e,Company_169,HealthTech,IN,2023-05-02,other,Enterprise,34.0,6766.0,81192.0,False,531,9.0,3.5,0.0,True,False,517,1
A-0532a9,Company_170,FinTech,IN,2024-09-25,event,Basic,19.0,361.0,4332.0,False,423,7.0,3.0,0.0,False,False,5,1
A-9779ad,Company_171,Cybersecurity,AU,2024-03-29,event,Pro,40.0,1960.0,23520.0,False,353,1.0,,0.0,False,False,185,0
A-f45426,Company_172,HealthTech,US,2024-08-05,organic,Enterprise,9.0,0.0,0.0,True,501,3.0,4.0,0.0,False,True,56,1
A-fa3095,Company_174,FinTech,US,2023-09-03,ads,Enterprise,70.0,13930.0,167160.0,False,504,3.0,5.0,0.0,False,False,393,0
A-ad64c6,Company_175,DevTools,UK,2024-02-23,event,Pro,12.0,588.0,7056.0,False,202,2.0,5.0,0.0,False,False,220,0
A-39b19f,Company_176,FinTech,US,2023-02-03,partner,Enterprise,24.0,0.0,0.0,True,513,5.0,4.0,0.0,True,True,605,0
A-56962b,Company_177,EdTech,UK,2024-04-09,partner,Pro,163.0,7987.0,95844.0,False,214,4.0,3.0,0.0,True,False,174,0
A-e60f9d,Company_178,FinTech,US,2024-08-26,other,Pro,29.0,1421.0,17052.0,False,567,2.0,,0.0,False,False,35,0
A-158f4e,Company_180,FinTech,IN,2023-03-03,other,Basic,61.0,1159.0,13908.0,False,420,5.0,4.333333333333333,0.0,False,False,577,1
A-5b051a,Company_181,Cybersecurity,US,2024-08-05,event,Basic,22.0,418.0,5016.0,False,122,1.0,3.0,0.0,False,False,56,0
A-296d7c,Company_182,DevTools,DE,2023-11-08,other,Pro,16.0,784.0,9408.0,False,332,5.0,3.75,0.0,False,False,327,1
A-1619f8,Company_183,DevTools,US,2024-05-20,organic,Basic,29.0,551.0,6612.0,False,387,2.0,5.0,0.0,False,False,133,0
A-a1b80b,Company_184,HealthTech,US,2023-11-27,organic,Enterprise,16.0,3184.0,38208.0,False,580,4.0,4.0,0.0,True,True,308,0
A-702032,Company_186,HealthTech,US,2023-10-03,ads,Basic,28.0,0.0,0.0,True,251,4.0,3.0,0.0,False,False,363,0
A-7a0d69,Company_187,DevTools,DE,2024-06-15,ads,Pro,4.0,196.0,2352.0,False,516,2.0,5.0,0.0,True,False,107,1
A-22d9d2,Company_188,DevTools,FR,2024-03-22,event,Pro,30.0,1470.0,17640.0,False,666,5.0,4.333333333333333,0.0,True,False,192,1
A-b9eed8,Company_189,Cybersecurity,US,2024-02-23,organic,Basic,14.0,266.0,3192.0,False,540,5.0,3.75,0.2,False,True,220,0
A-dfbd31,Company_190,DevTools,UK,2023-12-04,partner,Pro,43.0,2107.0,25284.0,False,559,5.0,4.25,0.0,True,False,301,1
A-8e47ca,Company_191,HealthTech,US,2024-02-15,organic,Enterprise,19.0,3781.0,45372.0,False,411,5.0,4.0,0.2,True,False,228,0
A-4437e4,Company_192,Cybersecurity,US,2023-09-16,event,Pro,4.0,0.0,0.0,True,738,4.0,3.0,0.5,True,False,380,0
A-779e4e,Company_193,HealthTech,US,2023-01-02,organic,Basic,98.0,1862.0,22344.0,False,365,4.0,3.6666666666666665,0.0,True,True,637,0
A-53f4e3,Company_194,Cybersecurity,UK,2024-06-14,event,Basic,22.0,418.0,5016.0,False,352,5.0,4.0,0.0,False,False,108,1
A-692f18,Company_195,EdTech,US,2024-03-28,other,Pro,9.0,0.0,0.0,True,776,1.0,5.0,0.0,True,True,186,1
A-13466a,Company_196,DevTools,AU,2023-10-22,event,Basic,9.0,171.0,2052.0,False,167,2.0,5.0,0.0,False,False,344,0
A-1986ca,Company_197,HealthTech,IN,2023-01-30,ads,Enterprise,20.0,3980.0,47760.0,False,325,7.0,3.4,0.0,True,False,609,0
A-0cc442,Company_198,EdTech,US,2024-07-18,organic,Enterprise,53.0,10547.0,126564.0,False,668,3.0,3.0,0.0,True,True,74,1
A-c608c8,Company_199,DevTools,DE,2023-04-27,ads,Basic,5.0,95.0,1140.0,False,375,2.0,3.0,0.0,True,True,522,0
A-3be56b,Company_200,HealthTech,IN,2023-10-26,event,Basic,37.0,703.0,8436.0,False,472,4.0,3.5,0.0,True,True,340,0
A-354f12,Company_201,FinTech,US,2024-04-28,ads,Enterprise,1.0,199.0,2388.0,False,91,2.0,,0.0,False,True,155,0
A-68f37c,Company_202,HealthTech,US,2023-07-15,ads,Pro,15.0,735.0,8820.0,False,565,4.0,4.0,0.0,True,False,443,1
A-aa9511,Company_203,DevTools,US,2023-10-10,other,Enterprise,58.0,0.0,0.0,True,536,2.0,4.0,0.0,False,False,356,0
A-af0cd2,Company_204,Cybersecurity,IN,2023-01-03,other,Basic,19.0,361.0,4332.0,False,568,3.0,,0.0,True,False,636,0
A-c222ab,Company_206,Cybersecurity,US,2024-05-10,other,Enterprise,32.0,6368.0,76416.0,False,350,1.0,,0.0,False,False,143,1
A-34d880,Company_207,Cybersecurity,AU,2024-04-11,ads,Enterprise,35.0,6965.0,83580.0,False,411,3.0,3.0,0.0,False,False,172,1
A-508199,Company_208,FinTech,AU,2024-01-28,event,Enterprise,19.0,3781.0,45372.0,False,183,3.0,3.0,0.0,False,False,246,0
A-f03140,Company_209,DevTools,IN,2023-11-22,event,Enterprise,27.0,5373.0,64476.0,False,518,7.0,3.6666666666666665,0.0,False,True,313,1
A-fa2041,Company_211,HealthTech,US,2024-05-29,organic,Pro,21.0,1029.0,12348.0,False,456,1.0,3.0,0.0,False,False,124,0
A-de58ca,Company_212,HealthTech,DE,2023-04-13,organic,Enterprise,36.0,7164.0,85968.0,False,463,4.0,3.0,0.0,False,False,536,0
A-05d3b3,Company_213,DevTools,AU,2023-05-28,ads,Enterprise,9.0,0.0,0.0,True,593,5.0,4.333333333333333,0.0,False,False,491,0
A-249769,Company_214,Cybersecurity,US,2024-04-25,event,Basic,21.0,399.0,4788.0,False,556,1.0,3.0,0.0,False,False,158,1
A-e43bf7,Company_215,Cybersecurity,AU,2023-03-24,other,Enterprise,44.0,8756.0,105072.0,False,333,3.0,5.0,0.3333333333333333,True,False,556,0
A-eb2fdc,Company_216,DevTools,AU,2023-11-21,organic,Enterprise,31.0,6169.0,74028.0,False,465,5.0,4.5,0.0,False,False,314,0
A-e1462e,Company_217,FinTech,UK,2023-03-12,partner,Pro,46.0,2254.0,27048.0,False,321,2.0,3.5,0.0,True,True,568,1
A-cab532,Company_218,DevTools,FR,2023-04-03,organic,Pro,23.0,1127.0,13524.0,False,883,1.0,4.0,0.0,True,True,546,0
A-9123ac,Company_219,Cybersecurity,DE,2023-06-20,organic,Pro,9.0,441.0,5292.0,False,303,4.0,4.666666666666667,0.0,False,True,468,1
A-6e08f3,Company_220,Cybersecurity,US,2023-02-27,event,Pro,18.0,882.0,10584.0,False,388,2.0,3.5,0.0,True,True,581,0
