account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,current_mrr,current_arr,is_trial,total_usage_count,ticket_count,avg_satisfaction,escalation_rate,has_upgraded,has_downgraded,tenure_days,churn_target,churn_probability,revenue_at_risk,churn_probability_percent
A-faa28c,Company_91,HealthTech,US,2024-01-30,organic,Enterprise,48.0,9552.0,114624.0,False,495,3.0,4.666666666666667,0.3333333333333333,True,False,244,0,0.21168291972528946,2021.995249215965,21.168291972528948
A-e61e98,Company_115,FinTech,US,2023-10-20,partner,Enterprise,34.0,6766.0,81192.0,False,509,5.0,4.6,0.2,True,False,346,1,0.2949049174579871,1995.3266715207405,29.490491745798707
A-b7b7b7,Company_338,FinTech,US,2024-06-30,event,Enterprise,24.0,4776.0,57312.0,False,521,3.0,5.0,0.0,True,False,92,0,0.4175548711696787,1994.2420647063855,41.75548711696787
A-4814a3,Company_337,Cybersecurity,IN,2024-09-17,event,Pro,87.0,4263.0,51156.0,False,513,4.0,4.0,0.25,True,False,13,1,0.4605192203506297,1963.1934363547343,46.05192203506297
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Enterprise,24.0,4776.0,57312.0,False,467,1.0,4.0,0.0,False,True,88,1,0.40746606545847497,1946.0579286296766,40.7466065458475
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56.0,11144.0,133728.0,False,405,2.0,5.0,0.0,True,True,423,0,0.16776386051049888,1869.5604615289994,16.776386051049887
A-34d880,Company_207,Cybersecurity,AU,2024-04-11,ads,Enterprise,35.0,6965.0,83580.0,False,411,3.0,3.0,0.0,False,False,172,1,0.26443958062533696,1841.8216790554718,26.443958062533696
A-87aa7b,Company_433,HealthTech,US,2024-05-16,organic,Enterprise,24.0,4776.0,57312.0,False,649,2.0,,0.5,True,True,137,1,0.37580522982791087,1794.8457776581024,37.58052298279109
A-e08cd3,Company_475,FinTech,US,2024-09-21,ads,Pro,67.0,3283.0,39396.0,False,360,6.0,4.0,0.0,False,False,9,1,0.5273418621816603,1731.263333542391,52.73418621816604
A-f25509,Company_92,EdTech,US,2024-03-22,other,Enterprise,32.0,6368.0,76416.0,False,202,6.0,4.666666666666667,0.0,False,False,192,1,0.26680089999593465,1698.988131174112,26.680089999593466
A-ff79f2,Company_165,DevTools,US,2024-04-25,ads,Enterprise,23.0,4577.0,54924.0,False,344,2.0,,0.0,False,False,158,0,0.3534922622893967,1617.9340844985686,35.34922622893967
A-c222ab,Company_206,Cybersecurity,US,2024-05-10,other,Enterprise,32.0,6368.0,76416.0,False,350,1.0,,0.0,False,False,143,1,0.249390230089166,1588.116985207809,24.9390230089166
A-0a62f5,Company_381,FinTech,UK,2024-09-11,partner,Enterprise,16.0,3184.0,38208.0,False,233,1.0,,0.0,False,False,19,1,0.49595544311034684,1579.1221308633444,49.595544311034686
A-71615e,Company_167,EdTech,US,2024-05-18,organic,Enterprise,32.0,6368.0,76416.0,False,524,1.0,,0.0,True,False,135,0,0.24105853819466452,1535.0607712236238,24.105853819466454
A-58b9ff,Company_425,DevTools,IN,2024-05-31,partner,Pro,63.0,3087.0,37044.0,False,581,2.0,4.0,0.5,False,True,122,1,0.49313173368401064,1522.2976618825408,49.31317336840107
A-b3fe05,Company_238,Cybersecurity,CA,2024-05-28,partner,Enterprise,17.0,3383.0,40596.0,False,408,3.0,3.0,0.0,False,False,125,0,0.4390332913471995,1485.249624627576,43.90332913471995
A-96e141,Company_134,DevTools,UK,2023-08-12,partner,Enterprise,25.0,4975.0,59700.0,False,301,5.0,4.333333333333333,0.0,False,False,415,0,0.29853206464014403,1485.1970215847166,29.853206464014402
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Enterprise,23.0,4577.0,54924.0,False,299,3.0,5.0,0.0,True,False,222,0,0.3208279293055962,1468.4294324317138,32.08279293055962
A-970c97,Company_477,HealthTech,DE,2024-03-01,other,Enterprise,28.0,5572.0,66864.0,False,366,1.0,5.0,0.0,False,True,213,0,0.2622635209067186,1461.3323384922362,26.226352090671863
A-7cfe77,Company_367,DevTools,US,2024-07-10,ads,Pro,69.0,3381.0,40572.0,False,188,6.0,3.6666666666666665,0.0,True,True,82,1,0.4284966032308369,1448.7470155234596,42.84966032308369
A-56962b,Company_177,EdTech,UK,2024-04-09,partner,Pro,163.0,7987.0,95844.0,False,214,4.0,3.0,0.0,True,False,174,0,0.17674325925425874,1411.6484116637646,17.674325925425872
A-2d1036,Company_399,FinTech,US,2024-06-14,ads,Pro,69.0,3381.0,40572.0,False,590,4.0,4.5,0.25,False,True,108,1,0.4150225495558236,1403.1912400482397,41.502254955582366
A-96215d,Company_318,FinTech,US,2024-08-08,event,Enterprise,16.0,3184.0,38208.0,False,306,1.0,3.0,0.0,True,False,53,0,0.43910589741294553,1398.1131773628185,43.91058974129455
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Enterprise,41.0,8159.0,97908.0,False,413,4.0,3.6666666666666665,0.0,True,False,516,0,0.1654743969298517,1350.10560455066,16.54743969298517
A-9f9299,Company_133,FinTech,US,2023-09-02,organic,Enterprise,28.0,5572.0,66864.0,False,676,3.0,,0.0,False,False,394,1,0.23856100549635056,1329.2619226256654,23.856100549635055
A-00bed1,Company_306,Cybersecurity,US,2023-11-14,ads,Enterprise,28.0,5572.0,66864.0,False,462,4.0,4.0,0.0,True,False,321,0,0.23733611787201508,1322.436848782868,23.733611787201507
A-de58ca,Company_212,HealthTech,DE,2023-04-13,organic,Enterprise,36.0,7164.0,85968.0,False,463,4.0,3.0,0.0,False,False,536,0,0.18420754887499396,1319.6628801404568,18.420754887499395
A-029f69,Company_129,Cybersecurity,CA,2024-03-07,event,Enterprise,15.0,2985.0,35820.0,False,751,2.0,3.0,0.0,False,False,207,1,0.4410960355352651,1316.6716660727664,44.10960355352651
A-7dacce,Company_8,Cybersecurity,CA,2024-09-10,event,Enterprise,13.0,2587.0,31044.0,False,409,4.0,3.6666666666666665,0.0,False,False,20,1,0.505930820102205,1308.8430316044044,50.5930820102205
A-8e47ca,Company_191,HealthTech,US,2024-02-15,organic,Enterprise,19.0,3781.0,45372.0,False,411,5.0,4.0,0.2,True,False,228,0,0.3289222093605183,1243.6548735921197,32.89222093605183
A-eb2fdc,Company_216,DevTools,AU,2023-11-21,organic,Enterprise,31.0,6169.0,74028.0,False,465,5.0,4.5,0.0,False,False,314,0,0.20107902270950637,1240.4564910949448,20.107902270950635
A-2ebb4b,Company_334,HealthTech,US,2023-05-15,ads,Enterprise,41.0,8159.0,97908.0,False,413,2.0,3.0,0.0,True,False,504,1,0.1497811646577887,1222.0645224428981,14.978116465778871
A-2446e3,Company_241,EdTech,IN,2024-01-10,organic,Enterprise,27.0,5373.0,64476.0,False,410,2.0,4.0,0.0,False,True,264,0,0.22714946386724855,1220.4740693587264,22.714946386724854
A-d77f4c,Company_470,DevTools,US,2023-09-25,partner,Enterprise,22.0,4378.0,52536.0,False,563,2.0,4.0,0.0,True,True,371,1,0.2761609305373787,1209.032553892644,27.616093053737874
A-9f0b68,Company_489,EdTech,US,2024-04-28,ads,Enterprise,13.0,2587.0,31044.0,False,663,2.0,3.0,0.0,False,False,155,1,0.4492637543569488,1162.2453325214267,44.92637543569488
A-bb1eaa,Company_468,Cybersecurity,US,2024-06-11,organic,Enterprise,21.0,4179.0,50148.0,False,135,6.0,4.5,0.0,False,True,111,0,0.27141378361658963,1134.2382017337281,27.141378361658962
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Pro,35.0,1715.0,20580.0,False,616,3.0,3.5,0.0,True,False,86,1,0.6602903494982135,1132.3979493894362,66.02903494982135
A-3932db,Company_144,HealthTech,CA,2023-10-04,other,Enterprise,19.0,3781.0,45372.0,False,335,6.0,4.333333333333333,0.0,True,True,362,0,0.2965562983013414,1121.279363877372,29.65562983013414
A-bece89,Company_128,Cybersecurity,IN,2023-12-01,event,Enterprise,26.0,5174.0,62088.0,False,132,4.0,4.0,0.25,True,False,304,0,0.21267465807695707,1100.378680890176,21.267465807695707
A-55f257,Company_496,FinTech,US,2023-12-21,organic,Enterprise,21.0,4179.0,50148.0,False,364,6.0,5.0,0.0,True,False,284,0,0.26141653904005785,1092.4597166484018,26.141653904005786
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Enterprise,13.0,2587.0,31044.0,False,655,3.0,5.0,0.0,True,False,185,0,0.41966480166350556,1085.672841903489,41.96648016635056
A-d27f50,Company_163,Cybersecurity,UK,2024-07-20,ads,Pro,44.0,2156.0,25872.0,False,424,4.0,3.75,0.0,False,False,72,0,0.4991828498760683,1076.2382243328034,49.91828498760683
A-d922bf,Company_221,HealthTech,US,2023-09-08,ads,Enterprise,15.0,2985.0,35820.0,False,379,7.0,3.333333333333333,0.1428571428571428,False,False,388,1,0.35719672786632967,1066.232232680994,35.71967278663297
A-1986ca,Company_197,HealthTech,IN,2023-01-30,ads,Enterprise,20.0,3980.0,47760.0,False,325,7.0,3.4,0.0,True,False,609,0,0.24744545152962513,984.832897087908,24.744545152962512
A-dfbd31,Company_190,DevTools,UK,2023-12-04,partner,Pro,43.0,2107.0,25284.0,False,559,5.0,4.25,0.0,True,False,301,1,0.46729469540410606,984.5899232164514,46.729469540410605
A-40906c,Company_235,EdTech,US,2024-03-27,ads,Pro,92.0,4508.0,54096.0,False,612,2.0,4.0,0.0,False,False,187,0,0.21638608846873353,975.4684868170508,21.638608846873353
A-cc102e,Company_443,HealthTech,US,2024-04-15,partner,Enterprise,13.0,2587.0,31044.0,False,333,3.0,4.0,0.0,False,False,168,1,0.37508046127932526,970.3331533296144,37.50804612793252
A-a1b80b,Company_184,HealthTech,US,2023-11-27,organic,Enterprise,16.0,3184.0,38208.0,False,580,4.0,4.0,0.0,True,True,308,0,0.30415645936013597,968.4341666026729,30.415645936013597
A-d535f6,Company_421,DevTools,US,2024-09-03,organic,Enterprise,12.0,2388.0,28656.0,False,448,0.0,,0.0,False,False,27,1,0.3928500710937013,938.1259697717587,39.28500710937013
A-075038,Company_397,HealthTech,UK,2023-05-12,ads,Enterprise,17.0,3383.0,40596.0,False,654,1.0,3.0,0.0,True,False,507,0,0.27481791148157764,929.7089945421772,27.481791148157765
A-e7a1e2,Company_295,Cybersecurity,US,2024-06-23,event,Enterprise,12.0,2388.0,28656.0,False,596,1.0,4.0,0.0,False,False,99,1,0.37325210685866705,891.3260311784969,37.32521068586671
A-7da956,Company_141,Cybersecurity,US,2024-06-02,event,Enterprise,14.0,2786.0,33432.0,False,459,3.0,5.0,0.0,True,True,120,0,0.31054696027018913,865.183831312747,31.054696027018913
A-bcf87c,Company_288,FinTech,US,2024-06-27,event,Enterprise,10.0,1990.0,23880.0,False,426,2.0,4.0,0.0,False,False,95,0,0.430909516293985,857.5099374250301,43.090951629398496
A-5a92e7,Company_413,HealthTech,US,2024-06-11,ads,Pro,28.0,1372.0,16464.0,False,772,6.0,4.75,0.0,False,False,111,1,0.620643465959907,851.5228352969925,62.064346595990706
A-9bfc9f,Company_228,DevTools,CA,2023-09-14,ads,Pro,60.0,2940.0,35280.0,False,357,6.0,3.333333333333333,0.1666666666666666,True,True,382,0,0.28785247845106415,846.2862866461286,28.785247845106415
A-e2cd1b,Company_121,DevTools,US,2024-02-04,other,Pro,45.0,2205.0,26460.0,False,405,5.0,4.0,0.0,False,False,239,0,0.3836718552882031,845.9964409104878,38.36718552882031
A-508199,Company_208,FinTech,AU,2024-01-28,event,Enterprise,19.0,3781.0,45372.0,False,183,3.0,3.0,0.0,False,False,246,0,0.22282609120178593,842.5054508339526,22.28260912017859
A-a2485e,Company_467,FinTech,US,2024-08-04,event,Pro,68.0,3332.0,39984.0,False,267,0.0,,0.0,False,True,57,0,0.24697772478739016,822.929778991584,24.697772478739015
A-8adedc,Company_300,EdTech,US,2024-02-11,event,Pro,68.0,3332.0,39984.0,False,546,4.0,4.0,0.0,False,False,232,0,0.24695382323302872,822.8501390124517,24.695382323302873
A-712f1c,Company_331,DevTools,US,2023-12-16,ads,Pro,38.0,1862.0,22344.0,False,571,6.0,4.0,0.0,True,False,289,1,0.43996919309369575,819.2226375404615,43.996919309369574
A-684255,Company_20,FinTech,US,2024-04-14,ads,Enterprise,9.0,1791.0,21492.0,False,569,4.0,4.666666666666667,0.25,True,False,169,0,0.45530981291804234,815.4598749362139,45.53098129180423
A-69b156,Company_396,EdTech,US,2023-11-21,other,Enterprise,13.0,2587.0,31044.0,False,340,7.0,4.0,0.0,False,False,314,0,0.312945228817286,809.5893069503188,31.294522881728597
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Enterprise,45.0,8955.0,107460.0,False,317,2.0,4.0,0.0,False,False,568,0,0.08717686494992449,780.6688256265738,8.71768649499245
A-e60f9d,Company_178,FinTech,US,2024-08-26,other,Pro,29.0,1421.0,17052.0,False,567,2.0,,0.0,False,False,35,0,0.5416606787190191,769.6998244597262,54.166067871901916
A-4c56c9,Company_449,FinTech,US,2023-12-20,partner,Enterprise,9.0,1791.0,21492.0,False,535,4.0,4.0,0.0,False,False,285,0,0.4030638009547242,721.8872675099111,40.30638009547242
A-d5a319,Company_158,FinTech,US,2023-05-04,other,Enterprise,31.0,6169.0,74028.0,False,477,1.0,4.0,1.0,True,True,515,0,0.11645312439088894,718.3993243673939,11.645312439088894
A-96bbc6,Company_342,Cybersecurity,US,2024-05-07,organic,Pro,64.0,3136.0,37632.0,False,340,3.0,3.333333333333333,0.0,True,False,146,1,0.22384986999975476,701.993192319231,22.384986999975474
A-22d9d2,Company_188,DevTools,FR,2024-03-22,event,Pro,30.0,1470.0,17640.0,False,666,5.0,4.333333333333333,0.0,True,False,192,1,0.47411417027006864,696.9478302970009,47.41141702700686
A-6dee43,Company_478,FinTech,UK,2023-08-12,other,Pro,55.0,2695.0,32340.0,False,437,4.0,4.333333333333333,0.0,True,False,415,0,0.2546830251364265,686.3707527426694,25.468302513642648
A-5a184f,Company_124,DevTools,DE,2023-06-19,other,Enterprise,14.0,2786.0,33432.0,False,471,3.0,4.333333333333333,0.0,False,True,469,0,0.24622905279003524,685.9941410730381,24.622905279003522
A-51ec1b,Company_247,DevTools,US,2023-11-08,ads,Enterprise,18.0,3582.0,42984.0,False,273,3.0,5.0,0.3333333333333333,True,True,327,0,0.19070821295201082,683.1168187941028,19.070821295201082
A-d82ef9,Company_355,EdTech,UK,2024-07-02,other,Pro,26.0,1274.0,15288.0,False,596,3.0,4.333333333333333,0.0,True,True,90,0,0.5229687246336719,666.2621551832981,52.296872463367194
A-3793ee,Company_332,Cybersecurity,CA,2023-03-21,organic,Enterprise,49.0,9751.0,117012.0,False,308,4.0,4.0,0.0,True,True,559,0,0.06729891184790236,656.231689428896,6.729891184790236
A-d62e02,Company_420,Cybersecurity,US,2024-08-20,partner,Enterprise,10.0,1990.0,23880.0,False,245,1.0,4.0,0.0,False,True,41,0,0.3236483415019305,644.0601995888417,32.36483415019305
A-a0ca4e,Company_6,Cybersecurity,US,2024-03-08,ads,Pro,49.0,2401.0,28812.0,False,311,5.0,3.8,0.6,False,False,206,0,0.26426037728013224,634.4891658495975,26.426037728013224
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Basic,68.0,1292.0,15504.0,False,480,6.0,4.5,0.0,False,False,29,1,0.49093896776758733,634.2931463557228,49.09389677675873
A-bc4d48,Company_343,EdTech,US,2024-06-12,ads,Pro,35.0,1715.0,20580.0,False,298,5.0,4.0,0.0,True,False,110,0,0.3592016189058053,616.0307764234561,35.92016189058053
A-0a282f,Company_2,DevTools,US,2024-08-27,organic,Enterprise,6.0,1194.0,14328.0,False,717,2.0,5.0,0.0,False,False,34,1,0.5079504591943846,606.4928482780953,50.795045919438465
A-425e76,Company_110,DevTools,UK,2023-05-17,other,Enterprise,9.0,1791.0,21492.0,False,393,5.0,3.333333333333333,0.2,True,False,502,1,0.3353740795679668,600.6549765062285,33.53740795679668
A-39868b,Company_422,FinTech,AU,2024-03-17,partner,Enterprise,9.0,1791.0,21492.0,False,247,6.0,4.25,0.0,False,False,197,0,0.3346027227470691,599.2734764400008,33.46027227470691
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Enterprise,12.0,2388.0,28656.0,False,496,1.0,4.0,0.0,False,False,360,0,0.24243015442327095,578.9232087627711,24.243015442327096
A-eb1312,Company_322,FinTech,US,2024-09-16,partner,Pro,25.0,1225.0,14700.0,False,544,1.0,5.0,0.0,False,False,14,1,0.46300475704475436,567.1808273798241,46.30047570447544
A-9289f6,Company_104,EdTech,US,2023-05-31,event,Enterprise,17.0,3383.0,40596.0,False,555,4.0,4.0,0.0,True,False,488,0,0.16389643374366528,554.4616353548196,16.38964337436653
A-038089,Company_156,DevTools,FR,2023-12-19,other,Pro,36.0,1764.0,21168.0,False,201,6.0,3.6666666666666665,0.0,False,False,286,1,0.30771080089310454,542.8018527754364,30.771080089310455
A-e7beab,Company_458,EdTech,DE,2023-10-20,organic,Pro,57.0,2793.0,33516.0,False,356,6.0,4.0,0.0,False,False,346,0,0.19420644190439457,542.418592238974,19.420644190439457
A-4a267b,Company_451,FinTech,US,2024-05-05,other,Pro,25.0,1225.0,14700.0,False,420,4.0,4.333333333333333,0.0,False,False,148,0,0.44035461913375845,539.4344084388541,44.03546191337585
A-8b0451,Company_245,FinTech,UK,2024-09-16,event,Basic,41.0,779.0,9348.0,False,547,5.0,3.6666666666666665,0.0,False,False,14,1,0.6808001830747895,530.343342615261,68.08001830747895
A-ffdfd5,Company_365,EdTech,US,2024-04-13,organic,Pro,92.0,4508.0,54096.0,False,439,0.0,,0.0,True,False,170,0,0.11471097357131047,517.1170688594676,11.471097357131047
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Pro,20.0,980.0,11760.0,False,430,2.0,4.0,0.0,True,False,40,0,0.5204382475920922,510.02948264025036,52.04382475920922
A-712533,Company_498,EdTech,US,2023-07-31,organic,Enterprise,18.0,3582.0,42984.0,False,480,3.0,3.6666666666666665,0.0,False,False,427,0,0.14174575658945615,507.73330010343193,14.174575658945615
A-794a0b,Company_168,HealthTech,DE,2023-06-02,organic,Enterprise,31.0,6169.0,74028.0,False,255,0.0,,0.0,False,False,486,0,0.08206966346706031,506.28775392829505,8.20696634670603
A-5ed98d,Company_479,DevTools,US,2024-06-22,partner,Pro,24.0,1176.0,14112.0,False,239,5.0,5.0,0.0,False,False,100,1,0.4258124088834881,500.755392846982,42.58124088834881
A-b7ef83,Company_474,Cybersecurity,UK,2024-05-29,partner,Enterprise,5.0,995.0,11940.0,False,645,1.0,4.0,0.0,True,False,124,0,0.49864404704182264,496.1508268066135,49.86440470418226
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13.0,2587.0,31044.0,False,391,4.0,3.0,0.0,True,True,524,1,0.19073683946324343,493.43620369141075,19.073683946324344
A-67be94,Company_276,EdTech,US,2023-04-04,organic,Enterprise,52.0,10348.0,124176.0,False,346,3.0,5.0,0.0,False,False,545,0,0.04652751289075038,481.466703393485,4.652751289075038
A-5247b3,Company_375,FinTech,UK,2024-03-12,partner,Pro,16.0,784.0,9408.0,False,555,5.0,4.0,0.0,True,False,202,1,0.61127285034621,479.23791467142865,61.127285034621
A-e83938,Company_111,DevTools,UK,2023-11-21,other,Pro,31.0,1519.0,18228.0,False,242,3.0,,0.0,True,False,314,1,0.3118255788984209,473.6630543467013,31.182557889842087
A-df1e44,Company_323,Cybersecurity,UK,2024-02-23,organic,Enterprise,12.0,2388.0,28656.0,False,361,1.0,5.0,0.0,True,True,220,1,0.1942571839036393,463.88615516189066,19.42571839036393
A-a09355,Company_459,FinTech,US,2024-08-10,organic,Pro,15.0,735.0,8820.0,False,673,5.0,4.0,0.0,False,False,51,1,0.6235882195769198,458.33734138903606,62.35882195769198
A-ed510f,Company_361,Cybersecurity,IN,2023-01-17,partner,Pro,42.0,2058.0,24696.0,False,399,9.0,4.0,0.0,True,False,622,0,0.21634054834746175,445.22884849907626,21.634054834746173
A-812c5b,Company_395,DevTools,CA,2024-02-25,organic,Basic,55.0,1045.0,12540.0,False,794,4.0,4.0,0.0,False,False,218,0,0.402488950661491,420.60095344125807,40.248895066149096
A-acb7f7,Company_330,EdTech,US,2024-01-06,ads,Pro,32.0,1568.0,18816.0,False,466,3.0,3.5,0.0,True,False,268,0,0.26697900299927935,418.62307670287004,26.697900299927934
A-3d957b,Company_311,HealthTech,UK,2024-04-04,other,Basic,73.0,1387.0,16644.0,False,129,3.0,3.0,0.0,True,False,179,0,0.30056631756713065,416.8854824656102,30.056631756713063
